num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
10,8,24535810,24535738,5021,Up-C;Front-C;Left-C;Up-C;Back-CC;Right-CC;Front-C;Left-C;
10,6,127700,127650,26,Up-C;Right-CC;Front-C;Right-CC;Up-C;Left-C;
10,4,3342,3311,0,Down-CC;Left-C;Left-C;Up-C;
10,8,5263738,5263663,1049,Front-C;Left-C;Front-C;Up-C;Back-CC;Up-C;Left-C;Front-C;
11,5,5239,5195,1,Front-C;Front-C;Right-CC;Up-C;Up-C;
11,9,264953279,264953199,52960,Down-CC;Left-C;Left-C;Front-C;Front-C;Up-C;Back-CC;Up-C;Back-CC;
11,11,27586450453,27586450359,5330852,Right-CC;Front-C;Left-C;Back-CC;Up-C;Right-CC;Back-CC;Down-CC;Left-C;Back-CC;Down-CC;
11,5,17731,17692,3,Up-C;Up-C;Left-C;Down-CC;Back-CC;
11,7,976317,976257,188,Back-CC;Down-CC;Front-C;Up-C;Up-C;Left-C;Back-CC;
11,7,484173,484113,93,Front-C;Right-CC;Up-C;Left-C;Front-C;Right-CC;Down-CC;
11,5,23887,23845,5,Down-CC;Front-C;Left-C;Down-CC;Back-CC;
11,7,1673397,1673336,318,Right-CC;Up-C;Front-C;Up-C;Left-C;Back-CC;Left-C;
11,9,69943691,69943609,13361,Front-C;Up-C;Right-CC;Front-C;Left-C;Up-C;Left-C;Left-C;Front-C;
11,7,999573,999511,190,Left-C;Up-C;Front-C;Front-C;Left-C;Left-C;Down-CC;
12,4,3222,3190,0,Up-C;Right-CC;Down-CC;Front-C;
12,4,438,398,0,Left-C;Left-C;Front-C;Front-C;
12,8,8648794,8648721,1656,Back-CC;Up-C;Up-C;Right-CC;Front-C;Right-CC;Front-C;Front-C;
12,4,570,532,0,Back-CC;Down-CC;Front-C;Front-C;
12,10,2612921700,2612921612,499889,Up-C;Front-C;Left-C;Front-C;Left-C;Left-C;Down-CC;Left-C;Back-CC;Up-C;
12,2,40,20,0,Front-C;Left-C;
12,6,75992,75942,15,Back-CC;Up-C;Up-C;Left-C;Front-C;Down-CC;
12,10,1252767564,1252767481,240494,Back-CC;Up-C;Up-C;Right-CC;Front-C;Up-C;Up-C;Back-CC;Up-C;Left-C;
12,6,90164,90110,18,Left-C;Back-CC;Left-C;Back-CC;Left-C;Up-C;
12,8,4447414,4447343,849,Front-C;Front-C;Up-C;Front-C;Up-C;Back-CC;Up-C;Up-C;
13,7,2126925,2126869,406,Right-CC;Front-C;Left-C;Up-C;Up-C;Right-CC;Down-CC;
13,11,16234364569,16234364482,3133849,Back-CC;Left-C;Down-CC;Back-CC;Down-CC;Left-C;Down-CC;Left-C;Down-CC;Left-C;Up-C;
13,7,513237,513173,98,Front-C;Down-CC;Back-CC;Right-CC;Back-CC;Right-CC;Front-C;
13,9,255410459,255410382,48553,Right-CC;Up-C;Right-CC;Up-C;Front-C;Down-CC;Front-C;Left-C;Back-CC;
13,9,147654371,147654286,28186,Left-C;Front-C;Front-C;Left-C;Front-C;Up-C;Left-C;Up-C;Front-C;
13,9,139265867,139265784,26626,Left-C;Front-C;Left-C;Back-CC;Right-CC;Front-C;Down-CC;Back-CC;Left-C;
13,9,97999019,97998934,18691,Back-CC;Left-C;Front-C;Front-C;Down-CC;Left-C;Left-C;Front-C;Left-C;
13,7,1168329,1168266,222,Back-CC;Left-C;Left-C;Back-CC;Up-C;Up-C;Front-C;
13,9,105462851,105462775,20223,Back-CC;Right-CC;Back-CC;Down-CC;Left-C;Left-C;Up-C;Up-C;Back-CC;
13,9,114873335,114873253,21992,Back-CC;Right-CC;Front-C;Front-C;Down-CC;Front-C;Front-C;Down-CC;Right-CC;
14,6,58280,58225,11,Front-C;Front-C;Up-C;Right-CC;Back-CC;Right-CC;
14,8,20872510,20872445,4002,Up-C;Right-CC;Down-CC;Left-C;Left-C;Front-C;Left-C;Down-CC;
14,2,40,23,0,Front-C;Down-CC;
14,10,1889142384,1889142296,360512,Left-C;Front-C;Left-C;Left-C;Down-CC;Front-C;Up-C;Back-CC;Left-C;Up-C;
14,6,117176,117124,22,Left-C;Down-CC;Front-C;Left-C;Front-C;Down-CC;
14,8,19809466,19809400,3783,Right-CC;Down-CC;Left-C;Up-C;Back-CC;Left-C;Up-C;Back-CC;
14,10,762937884,762937792,146560,Front-C;Down-CC;Left-C;Back-CC;Left-C;Left-C;Back-CC;Right-CC;Front-C;Left-C;
14,6,174584,174535,33,Down-CC;Back-CC;Down-CC;Front-C;Down-CC;Back-CC;
14,6,65948,65893,14,Front-C;Left-C;Front-C;Down-CC;Left-C;Left-C;
